,time,pelvis_tilt,pelvis_tilt_speed,pelvis_list,pelvis_list_speed,pelvis_rotation,pelvis_rotation_speed,pelvis_tx,pelvis_tx_speed,pelvis_ty,pelvis_ty_speed,pelvis_tz,pelvis_tz_speed,hip_flexion_r,hip_flexion_r_speed,hip_adduction_r,hip_adduction_r_speed,hip_rotation_r,hip_rotation_r_speed,knee_angle_r,knee_angle_r_speed,ankle_angle_r,ankle_angle_r_speed,hip_flexion_l,hip_flexion_l_speed,hip_adduction_l,hip_adduction_l_speed,hip_rotation_l,hip_rotation_l_speed,knee_angle_l,knee_angle_l_speed,ankle_angle_l,ankle_angle_l_speed,lumbar_extension,lumbar_extension_speed,abd_r_activation,abd_r_fiber_length,add_r_activation,add_r_fiber_length,hamstrings_r_activation,hamstrings_r_fiber_length,bifemsh_r_activation,bifemsh_r_fiber_length,glut_max_r_activation,glut_max_r_fiber_length,iliopsoas_r_activation,iliopsoas_r_fiber_length,rect_fem_r_activation,rect_fem_r_fiber_length,vasti_r_activation,vasti_r_fiber_length,abd_l_activation,abd_l_fiber_length,add_l_activation,add_l_fiber_length,hamstrings_l_activation,hamstrings_l_fiber_length,bifemsh_l_activation,bifemsh_l_fiber_length,glut_max_l_activation,glut_max_l_fiber_length,iliopsoas_l_activation,iliopsoas_l_fiber_length,rect_fem_l_activation,rect_fem_l_fiber_length,vasti_l_activation,vasti_l_fiber_length,gastroc_l_activation,gastroc_l_fiber_length,soleus_l_activation,soleus_l_fiber_length,tib_ant_l_activation,tib_ant_l_fiber_length,head_pos_x,head_pos_y,head_pos_z,com_pos_x,com_pos_y,com_pos_z,toes_l_x,toes_l_y,toes_l_z,pros_foot_r_x,pros_foot_r_y,pros_foot_r_z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0872665,0.0,0.05,0.07752306863700548,0.05,0.05526137592854144,0.05,0.06355896214015513,0.05,0.13434264681417835,0.05,0.16084824667171801,0.05,0.13005768603600326,0.05,0.06027044615978444,0.05,0.07890756873654925,0.05,0.07752306863700548,0.05,0.05526137592854144,0.05,0.06355896214015513,0.05,0.13434264681417835,0.05,0.16084824667171801,0.05,0.13005768603600326,0.05,0.06027044615978444,0.05,0.07890756873654925,0.05,0.05720257668702345,0.05,0.04494814124106819,0.05,0.06288000983990409,-0.052764320996907754,1.5694070821576522,0.0,-0.08466565561225976,0.9952730567231536,-0.003576087446004414,0.05483014348246398,0.004129303551649576,-0.0925,-0.07519985651753601,0.04807930355164958,0.0835
1,0.01,-0.008540487894736841,-0.011262081578947368,-0.002521253684210526,0.00264189,-0.0016199126315789474,0.00492933,0.002631578947368421,0.0,0.9398570689473684,0.0,0.0,-0.00027220473684210525,0.029972364736842106,0.1467562152631579,-0.007128265263157896,-0.007080017894736841,0.0,0.0,-0.0006612068421052631,0.0024434105263157896,-4.721736842105263e-05,0.0011051615789473685,0.01699072789473684,-0.08297404105263158,-0.0013733999999999997,0.005145535789473684,0.0,0.0,-0.018283176842105262,0.053584536315789466,0.0038266731578947364,0.009050781052631579,-0.0872665,0.0,0.04924018473684211,0.0778459150245315,0.04916673894736842,0.05617896456388136,0.04842105263157895,0.06515911939593644,0.04842105263157895,0.13434757645553738,0.049027205789473685,0.1622251884258381,0.05038536894736843,0.12894834203410835,0.05047945,0.05892497320400631,0.049221613157894736,0.07895068985567824,0.056087920526315796,0.07780337449821571,0.053498727368421053,0.05550035456388137,0.0738541705263158,0.06351844360646276,0.048681443684210526,0.13391833171869527,0.06150789684210527,0.16169979947846969,0.04842105263157895,0.129422450455161,0.04842105263157895,0.060433920572427365,0.04842105263157895,0.07978486406620455,0.053746736842105264,0.05667277738770642,0.05194129263157895,0.0450355617020646,0.049007217894736846,0.06274919879569861,-0.04475538922735215,1.5696896078637779,-0.0016723665245494412,-0.07945698088568096,0.995848681727344,-0.0036474409894026723,0.056007754011420774,0.003515698904432837,-0.09123859264196207,-0.05585534308254972,0.04887746635675139,0.09155219216549429
2,0.02,-0.017080975789473683,-0.022524163157894735,-0.005042507368421052,0.00528378,-0.0032398252631578948,0.00985866,0.005263157894736842,0.0,0.9397141378947368,0.0,0.0,-0.0005444094736842105,0.05994472947368421,0.2935124305263158,-0.014256530526315791,-0.014160035789473682,0.0,0.0,-0.0013224136842105263,0.004886821052631579,-9.443473684210526e-05,0.002210323157894737,0.03398145578947368,-0.16594808210526316,-0.0027467999999999993,0.010291071578947368,0.0,0.0,-0.036566353684210524,0.10716907263157893,0.007653346315789473,0.018101562105263157,-0.0872665,0.0,0.04848036947368421,0.07816876141205753,0.04833347789473685,0.05709655319922129,0.0468421052631579,0.06675927665171776,0.0468421052631579,0.13435250609689642,0.048054411578947374,0.16360213017995823,0.05077073789473684,0.12783899803221344,0.0509589,0.05757950024822819,0.04844322631578948,0.07899381097480722,0.06217584105263158,0.07808368035942595,0.056997454736842104,0.05573933319922129,0.09770834105263158,0.06347792507277038,0.04736288736842106,0.1334940166232122,0.07301579368421053,0.16255135228522138,0.0468421052631579,0.1287872148743187,0.0468421052631579,0.06059739498507029,0.0468421052631579,0.08066215939585986,0.05749347368421053,0.0561429780883894,0.053882585263157895,0.045122982163061015,0.04801443578947369,0.06261838775149313,-0.03674297619483697,1.5699217593815267,-0.0033447211073882434,-0.0742426985462089,0.9964387268461822,-0.0037124268233391165,0.05719536998856936,0.002977891292465235,-0.08996220368979638,-0.03652842751897475,0.05012779303365433,0.0996772962506814
3,0.03,-0.025621463684210526,-0.0337862447368421,-0.007563761052631578,0.00792567,-0.004859737894736842,0.01478799,0.007894736842105263,0.0,0.9395712068421053,0.0,0.0,-0.0008166142105263158,0.08991709421052632,0.4402686457894737,-0.021384795789473686,-0.021240053684210523,0.0,0.0,-0.0019836205263157893,0.007330231578947369,-0.0001416521052631579,0.003315484736842105,0.050972183684210526,-0.24892212315789475,-0.004120199999999999,0.015436607368421052,0.0,0.0,-0.05484953052631579,0.1607536089473684,0.01148001947368421,0.027152343157894734,-0.0872665,0.0,0.04772055421052632,0.07849160779958356,0.047500216842105265,0.05801414183456122,0.045263157894736845,0.06835943390749906,0.045263157894736845,0.13435743573825545,0.04708161736842106,0.16497907193407832,0.05115610684210527,0.12672965403031852,0.05143835,0.056234027292450056,0.04766483947368421,0.07903693209393621,0.06826376157894737,0.07836398622063619,0.060496182105263155,0.055978311834561215,0.12156251157894737,0.063437406539078,0.04604433105263158,0.13306970152772912,0.08452369052631578,0.16340290509197306,0.045263157894736845,0.12815197929347644,0.045263157894736845,0.06076086939771321,0.045263157894736845,0.08153945472551516,0.06124021052631579,0.055613178789072376,0.05582387789473685,0.04521040262405742,0.04702165368421053,0.062487576707287655,-0.02872758797777606,1.5701035082798893,-0.0050170518069020086,-0.06902345816762669,0.9970431958917098,-0.0037714585750764744,0.058393501835740644,0.002516176880051335,-0.0886710604955393,-0.017228742368312695,0.051830836698919414,0.10786881779655061
4,0.04,-0.034161951578947365,-0.04504832631578947,-0.010085014736842104,0.01056756,-0.0064796505263157896,0.01971732,0.010526315789473684,0.0,0.9394282757894736,0.0,0.0,-0.001088818947368421,0.11988945894736842,0.5870248610526316,-0.028513061052631582,-0.028320071578947364,0.0,0.0,-0.0026448273684210525,0.009773642105263158,-0.00018886947368421052,0.004420646315789474,0.06796291157894736,-0.3318961642105263,-0.005493599999999999,0.020582143157894736,0.0,0.0,-0.07313270736842105,0.21433814526315786,0.015306692631578946,0.036203124210526315,-0.0872665,0.0,0.04696073894736842,0.07881445418710958,0.046666955789473684,0.05893173046990114,0.04368421052631579,0.06995959116328038,0.04368421052631579,0.1343623653796145,0.04610882315789474,0.16635601368819844,0.051541475789473684,0.12562031002842364,0.0519178,0.054888554336671926,0.04688645263157895,0.0790800532130652,0.07435168210526316,0.07864429208184642,0.0639949094736842,0.056217290469901135,0.14541668210526315,0.06339688800538563,0.04472577473684211,0.13264538643224605,0.09603158736842105,0.16425445789872475,0.04368421052631579,0.12751674371263416,0.04368421052631579,0.060924343810356135,0.04368421052631579,0.08241675005517046,0.06498694736842106,0.055083379489755356,0.057765170526315794,0.04529782308505383,0.04602887157894737,0.062356765663082174,-0.020709730880955415,1.5702348314544015,-0.006689346681668807,-0.06379990743733714,0.9976620776644753,-0.003824959202050348,0.05960265431061612,0.0021308589989595967,-0.0873654052298725,0.002034122280323257,0.05398682183884429,0.11612011660914787
5,0.05,-0.042702439473684205,-0.05631040789473684,-0.01260626842105263,0.013209450000000001,-0.008099563157894736,0.02464665,0.013157894736842105,0.0,0.9392853447368421,0.0,0.0,-0.0013610236842105262,0.14986182368421053,0.7337810763157895,-0.03564132631578948,-0.035400089473684206,0.0,0.0,-0.003306034210526316,0.012217052631578948,-0.00023608684210526314,0.0055258078947368425,0.0849536394736842,-0.4148702052631579,-0.006866999999999998,0.02572767894736842,0.0,0.0,-0.09141588421052631,0.26792268157894733,0.01913336578947368,0.045253905263157895,-0.0872665,0.0,0.046200923684210526,0.07913730057463561,0.04583369473684211,0.059849319105241064,0.04210526315789474,0.07155974841906168,0.04210526315789474,0.13436729502097353,0.04513602894736842,0.16773295544231853,0.05192684473684211,0.12451096602652872,0.05239725,0.053543081380893795,0.046108065789473685,0.07912317433219418,0.08043960263157895,0.07892459794305667,0.06749363684210527,0.05645626910524106,0.16927085263157896,0.06335636947169325,0.043407218421052635,0.132221071336763,0.10753948421052631,0.16510601070547642,0.04210526315789474,0.1268815081317919,0.04210526315789474,0.06108781822299906,0.04210526315789474,0.08329404538482577,0.06873368421052632,0.05455358019043833,0.05970646315789474,0.045385243546050245,0.04503608947368421,0.0622259546188767,-0.012689911377853247,1.5703157111288357,-0.008361593790555427,-0.05857269180740918,0.9982953458280203,-0.003873360369615683,0.06082332644686411,0.0018222480275386652,-0.08604549524095104,0.021250625480566394,0.05659564235574788,0.12442441853099025
6,0.06,-0.05124292736842105,-0.0675724894736842,-0.015127522105263157,0.01585134,-0.009719475789473684,0.02957598,0.015789473684210527,0.0,0.9391424136842105,0.0,0.0,-0.0016332284210526316,0.17983418842105264,0.8805372915789474,-0.04276959157894737,-0.04248010736842105,0.0,0.0,-0.003967241052631579,0.014660463157894738,-0.0002833042105263158,0.00663096947368421,0.10194436736842105,-0.4978442463157895,-0.008240399999999998,0.030873214736842104,0.0,0.0,-0.10969906105263158,0.3215072178947368,0.02296003894736842,0.05430468631578947,-0.0872665,0.0,0.04544110842105263,0.07946014696216164,0.04500043368421053,0.06076690774058099,0.04052631578947369,0.07315990567484298,0.04052631578947369,0.13437222466233256,0.04416323473684211,0.16910989719643865,0.05231221368421053,0.12340162202463381,0.0528767,0.05219760842511567,0.045329678947368425,0.07916629545132317,0.08652752315789475,0.07920490380426691,0.07099236421052632,0.05669524774058098,0.19312502315789476,0.06331585093800088,0.04208866210526316,0.13179675624127993,0.11904738105263157,0.16595756351222812,0.04052631578947369,0.1262462725509496,0.04052631578947369,0.06125129263564198,0.04052631578947369,0.08417134071448107,0.07248042105263158,0.05402378089112131,0.061647755789473686,0.04547266400704666,0.044043307368421054,0.06209514357467122,-0.004668636052948802,1.5703461348562513,-0.010033781192813592,-0.053342454152970384,0.998942958799964,-0.003917101814956219,0.06205601149411405,0.001590661258391312,-0.08471160340679622,0.04041128199365661,0.05965685994487768,0.13277482746687014
7,0.07,-0.05978341526315789,-0.07883457105263157,-0.017648775789473683,0.01849323,-0.011339388421052633,0.03450531,0.018421052631578946,0.0,0.938999482631579,0.0,0.0,-0.0019054331578947368,0.20980655315789473,1.0272935068421054,-0.04989785684210527,-0.04956012526315789,0.0,0.0,-0.004628447894736842,0.017103873684210527,-0.0003305215789473684,0.007736131052631579,0.11893509526315789,-0.580818287368421,-0.009613799999999997,0.036018750526315785,0.0,0.0,-0.12798223789473684,0.37509175421052626,0.026786712105263157,0.06335546736842106,-0.0872665,0.0,0.044681293157894736,0.07978299334968766,0.044167172631578946,0.06168449637592091,0.03894736842105263,0.0747600629306243,0.03894736842105263,0.1343771543036916,0.04319044052631579,0.17048683895055874,0.05269758263157895,0.1222922780227389,0.05335615,0.05085213546933754,0.04455129210526316,0.07920941657045216,0.09261544368421053,0.07948520966547715,0.07449109157894737,0.05693422637592091,0.21697919368421054,0.0632753324043085,0.04077010578947368,0.13137244114579685,0.13055527789473684,0.1668091163189798,0.03894736842105263,0.1256110369701073,0.03894736842105263,0.061414767048284906,0.03894736842105263,0.08504863604413637,0.07622715789473684,0.05349398159180428,0.06358904842105263,0.04556008446804307,0.0430505252631579,0.061964332530465745,0.0033535884559719176,1.570326095519417,-0.0117058969481762,-0.048109834438050114,0.9996048596600956,-0.0039566306982438525,0.06330119685723332,0.0014364227545922564,-0.08336401848057994,0.05950666872597735,0.06316970280907125,0.14116433764242708
8,0.08,-0.06832390315789473,-0.09009665263157894,-0.02017002947368421,0.02113512,-0.012959301052631579,0.03943464,0.021052631578947368,0.0,0.9388565515789473,0.0,0.0,-0.002177637894736842,0.23977891789473685,1.1740497221052633,-0.057026122105263165,-0.05664014315789473,0.0,0.0,-0.005289654736842105,0.019547284210526317,-0.00037773894736842104,0.008841292631578948,0.13592582315789473,-0.6637923284210526,-0.010987199999999997,0.04116428631578947,0.0,0.0,-0.1462654147368421,0.42867629052631573,0.03061338526315789,0.07240624842105263,-0.0872665,0.0,0.04392147789473684,0.08010583973721369,0.043333911578947365,0.06260208501126084,0.03736842105263158,0.0763602201864056,0.03736842105263158,0.13438208394505063,0.042217646315789475,0.17186378070467884,0.05308295157894737,0.12118293402084399,0.0538356,0.04950666251355941,0.0437729052631579,0.07925253768958114,0.09870336421052632,0.07976551552668738,0.07798981894736842,0.05717320501126084,0.2408333642105263,0.06323481387061612,0.03945154947368421,0.13094812605031378,0.1420631747368421,0.1676606691257315,0.03736842105263158,0.12497580138926505,0.03736842105263158,0.06157824146092783,0.03736842105263158,0.08592593137379168,0.0799738947368421,0.05296418229248726,0.06553034105263159,0.045647504929039476,0.04205774315789474,0.061833521486260264,0.011376255515507486,1.5702555913305891,-0.013377929116953555,-0.042875469388954014,1.0002809760758404,-0.003992400942157119,0.0645593640343678,0.0013598631944787484,-0.08200304542812886,0.07852743103785191,0.06713306471777497,0.14958584607343062
9,0.09,-0.07686439105263157,-0.10135873421052631,-0.022691283157894735,0.02377701,-0.014579213684210526,0.04436397,0.02368421052631579,0.0,0.9387136205263158,0.0,0.0,-0.0024498426315789474,0.26975128263157894,1.3208059373684211,-0.06415438736842106,-0.06372016105263156,0.0,0.0,-0.005950861578947368,0.021990694736842106,-0.00042495631578947366,0.009946454210526316,0.15291655105263158,-0.7467663694736842,-0.012360599999999998,0.04630982210526316,0.0,0.0,-0.16454859157894736,0.4822608268421052,0.034440058421052626,0.0814570294736842,-0.0872665,0.0,0.043161662631578945,0.08042868612473972,0.04250065052631579,0.06351967364660076,0.035789473684210524,0.07796037744218691,0.035789473684210524,0.13438701358640967,0.04124485210526316,0.17324072245879896,0.05346832052631579,0.12007359001894909,0.054315050000000004,0.048161189557781287,0.04299451842105263,0.07929565880871013,0.10479128473684211,0.08004582138789762,0.08148854631578947,0.05741218364660076,0.2646875347368421,0.06319429533692375,0.03813299315789474,0.1305238109548307,0.15357107157894737,0.16851222193248316,0.035789473684210524,0.12434056580842277,0.035789473684210524,0.06174171587357075,0.035789473684210524,0.08680322670344698,0.08372063157894738,0.052434382993170235,0.06747163368421052,0.04573492539003589,0.04106496105263158,0.06170271044205478,0.019398858554321843,1.5701346258306632,-0.015049865760129545,-0.037639992175230425,1.000971220245446,-0.0040248725608887604,0.06583098855320425,0.0013613197050595313,-0.08062900575698012,0.09746428892257596,0.07154550441648638,0.15803216522332025
